NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_DN	41	33		
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP	52	46		
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER	15	14		
BRIDEAU_IMPRINTED_GENES	65	54		
BROCKE_APOPTOSIS_REVERSED_BY_IL6	146	121		
BROWNE_HCMV_INFECTION_10HR_DN	57	50		
BROWNE_HCMV_INFECTION_10HR_UP	98	83		
BROWNE_HCMV_INFECTION_12HR_DN	100	85		
BROWNE_HCMV_INFECTION_12HR_UP	112	91		
BROWNE_HCMV_INFECTION_14HR_DN	290	252		
BROWNE_HCMV_INFECTION_14HR_UP	156	135		
BROWNE_HCMV_INFECTION_16HR_DN	83	67		
BROWNE_HCMV_INFECTION_16HR_UP	223	202		
BROWNE_HCMV_INFECTION_18HR_DN	182	151		
BROWNE_HCMV_INFECTION_18HR_UP	172	157		
BROWNE_HCMV_INFECTION_1HR_DN	218	180		
BROWNE_HCMV_INFECTION_1HR_UP	51	39		
BROWNE_HCMV_INFECTION_20HR_DN	102	85		
BROWNE_HCMV_INFECTION_20HR_UP	235	209		
BROWNE_HCMV_INFECTION_24HR_DN	145	126		
BROWNE_HCMV_INFECTION_24HR_UP	146	129		
BROWNE_HCMV_INFECTION_2HR_DN	48	45		
BROWNE_HCMV_INFECTION_2HR_UP	40	26		
BROWNE_HCMV_INFECTION_30MIN_DN	145	112		
BROWNE_HCMV_INFECTION_30MIN_UP	54	41		
BROWNE_HCMV_INFECTION_48HR_DN	482	390		
BROWNE_HCMV_INFECTION_48HR_UP	180	147		
BROWNE_HCMV_INFECTION_4HR_DN	252	211		
BROWNE_HCMV_INFECTION_4HR_UP	50	38		
BROWNE_HCMV_INFECTION_6HR_DN	164	144		
BROWNE_HCMV_INFECTION_6HR_UP	63	45		
BROWNE_HCMV_INFECTION_8HR_DN	48	41		
BROWNE_HCMV_INFECTION_8HR_UP	105	87		
BROWNE_INTERFERON_RESPONSIVE_GENES	67	54		
BROWN_MYELOID_CELL_DEVELOPMENT_DN	133	113		
BROWN_MYELOID_CELL_DEVELOPMENT_UP	167	126		
BRUECKNER_TARGETS_OF_MIRLET7A3_DN	76	65		
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	110	94		
BRUINS_UVC_RESPONSE_EARLY_LATE	316	279		
BRUINS_UVC_RESPONSE_LATE	1136		Rejected!	
BRUINS_UVC_RESPONSE_MIDDLE	99	90		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	899		Rejected!	
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	554	457		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_C	91	75		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_D	279	230		
BRUNEAU_HEART_GREAT_VESSELS_AND_VALVULOGENESIS	8	8		
BRUNEAU_SEPTATION_ATRIAL	5		Rejected!	
BRUNEAU_SEPTATION_VENTRICULAR	10	10		
BRUNO_HEMATOPOIESIS	67	50		
BUCKANOVICH_T_LYMPHOCYTE_HOMING_ON_TUMOR_DN	22	20		
BUCKANOVICH_T_LYMPHOCYTE_HOMING_ON_TUMOR_UP	21	16		
BUFFA_HYPOXIA_METAGENE	50	46		
BURTON_ADIPOGENESIS_1	31	30		
BURTON_ADIPOGENESIS_10	31	30		
BURTON_ADIPOGENESIS_11	52	47		
BURTON_ADIPOGENESIS_12	32	32		
BURTON_ADIPOGENESIS_2	71	67		
BURTON_ADIPOGENESIS_3	101	95		
BURTON_ADIPOGENESIS_4	45	42		
BURTON_ADIPOGENESIS_5	118	105		
BURTON_ADIPOGENESIS_6	191	166		
BURTON_ADIPOGENESIS_7	49	43		
BURTON_ADIPOGENESIS_8	80	68		
BURTON_ADIPOGENESIS_9	85	70		
BURTON_ADIPOGENESIS_PEAK_AT_0HR	64	52		
BURTON_ADIPOGENESIS_PEAK_AT_16HR	41	34		
BURTON_ADIPOGENESIS_PEAK_AT_24HR	44	40		
