NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE	WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE		13	-0.39498824	-1.2366705	0.18439716	0.42820737	1.0	9261	tags=100%, list=61%, signal=253%	
FOURNIER_ACINAR_DEVELOPMENT_LATE_DN	FOURNIER_ACINAR_DEVELOPMENT_LATE_DN		19	-0.34390637	-1.2323378	0.1521739	0.43300045	1.0	4022	tags=58%, list=26%, signal=78%	
MEBARKI_HCC_PROGENITOR_WNT_DN_CTNNB1_INDEPENDENT	MEBARKI_HCC_PROGENITOR_WNT_DN_CTNNB1_INDEPENDENT		11	-0.41058812	-1.2323215	0.2021858	0.43125767	1.0	822	tags=27%, list=5%, signal=29%	
REACTOME_UCH_PROTEINASES	REACTOME_UCH_PROTEINASES		99	-0.2044008	-1.2247573	0.0	0.4407409	1.0	2017	tags=25%, list=13%, signal=29%	
LE_NEURONAL_DIFFERENTIATION_DN	LE_NEURONAL_DIFFERENTIATION_DN		19	-0.3401831	-1.2247082	0.24468085	0.43901834	1.0	2182	tags=53%, list=14%, signal=61%	
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN		15	-0.35331717	-1.2246717	0.22627737	0.43729678	1.0	1079	tags=27%, list=7%, signal=29%	
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR		15	-0.36656025	-1.2228252	0.15384616	0.438447	1.0	5860	tags=73%, list=38%, signal=119%	
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION		28	-0.30375195	-1.2179292	0.16949153	0.4441803	1.0	2326	tags=29%, list=15%, signal=34%	
WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS	WP_ENTEROHEPATIC_CIRCULATION_OF_BILE_ACIDS		9	-0.4417844	-1.2176821	0.22660099	0.44271934	1.0	8544	tags=100%, list=56%, signal=226%	
KEGG_MEDICUS_REFERENCE_UCHL1_MEDIATED_HYDROLYSIS	KEGG_MEDICUS_REFERENCE_UCHL1_MEDIATED_HYDROLYSIS		5	-0.55570734	-1.2172275	0.2326389	0.44166285	1.0	1415	tags=60%, list=9%, signal=66%	
