NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN		99	0.45955965	1.2441382	0.07915831	0.27303118	1.0	1584	tags=17%, list=10%, signal=19%	
BIOCARTA_BIOPEPTIDES_PATHWAY	BIOCARTA_BIOPEPTIDES_PATHWAY		28	0.5141381	1.2439919	0.15811966	0.27321243	1.0	4833	tags=54%, list=32%, signal=78%	
REACTOME_SHC_MEDIATED_CASCADE_FGFR3	REACTOME_SHC_MEDIATED_CASCADE_FGFR3		14	0.55497044	1.2439616	0.18649885	0.27319407	1.0	6488	tags=86%, list=42%, signal=149%	
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN	SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_DN		9	0.60771585	1.2438258	0.21163367	0.2733539	1.0	2635	tags=33%, list=17%, signal=40%	
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	ABDULRAHMAN_KIDNEY_CANCER_VHL_DN		12	0.5706696	1.2436676	0.21269095	0.27354687	1.0	2710	tags=42%, list=18%, signal=51%	
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN	WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN		23	0.51572365	1.2435309	0.18722944	0.2737156	1.0	2253	tags=30%, list=15%, signal=36%	
MIKKELSEN_IPS_WITH_HCP_H3K27ME3	MIKKELSEN_IPS_WITH_HCP_H3K27ME3		70	0.46734968	1.2435079	0.09547739	0.27367347	1.0	1075	tags=14%, list=7%, signal=15%	
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING		92	0.46536523	1.243326	0.08416834	0.2739105	1.0	4637	tags=45%, list=30%, signal=64%	
LAIHO_COLORECTAL_CANCER_SERRATED_DN	LAIHO_COLORECTAL_CANCER_SERRATED_DN		74	0.47268212	1.2432809	0.109768376	0.27390724	1.0	3680	tags=38%, list=24%, signal=50%	
REACTOME_GPER1_SIGNALING	REACTOME_GPER1_SIGNALING		38	0.4931598	1.2431375	0.1550308	0.27407947	1.0	4762	tags=55%, list=31%, signal=80%	
TAGHAVI_NEOPLASTIC_TRANSFORMATION	TAGHAVI_NEOPLASTIC_TRANSFORMATION		9	0.59847075	1.243119	0.2120098	0.27403936	1.0	2186	tags=44%, list=14%, signal=52%	
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES	REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES		97	0.46416545	1.2429204	0.0782347	0.27431127	1.0	5521	tags=55%, list=36%, signal=85%	
LIU_CMYB_TARGETS_UP	LIU_CMYB_TARGETS_UP		139	0.4565602	1.2428626	0.051	0.27433252	1.0	2713	tags=25%, list=18%, signal=30%	
REACTOME_NEUROTRANSMITTER_CLEARANCE	REACTOME_NEUROTRANSMITTER_CLEARANCE		9	0.6044075	1.2427404	0.19751553	0.27444556	1.0	69	tags=11%, list=0%, signal=11%	
MULLIGHAN_MLL_SIGNATURE_1_DN	MULLIGHAN_MLL_SIGNATURE_1_DN		195	0.4533206	1.2425939	0.019	0.27463254	1.0	4694	tags=43%, list=31%, signal=61%	
REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R	REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R		8	0.6211622	1.2425908	0.20025349	0.2745602	1.0	3421	tags=63%, list=22%, signal=80%	
CAIRO_HEPATOBLASTOMA_UP	CAIRO_HEPATOBLASTOMA_UP		202	0.45341644	1.2424914	0.017	0.27465498	1.0	4578	tags=40%, list=30%, signal=56%	
WP_G_PROTEIN_SIGNALING	WP_G_PROTEIN_SIGNALING		87	0.4647098	1.2423657	0.08717435	0.2747879	1.0	3470	tags=36%, list=23%, signal=46%	
REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS	REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS		31	0.49097225	1.2422769	0.1687631	0.27486685	1.0	3871	tags=45%, list=25%, signal=60%	
KEGG_MEDICUS_PATHOGEN_KSHV_K15_TO_TNF_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_K15_TO_TNF_NFKB_SIGNALING_PATHWAY		7	0.6310368	1.2422347	0.19682959	0.27486667	1.0	4396	tags=71%, list=29%, signal=100%	
